2020-05-01 18:23:44,788 :: INFO :: **** INITIALIZATION ****
2020-05-01 18:23:44,789 :: INFO :: Human in (2, 30)
2020-05-01 18:23:44,789 :: INFO :: Human in (7, 20)
2020-05-01 18:23:44,789 :: INFO :: Human in (14, 27)
2020-05-01 18:23:44,789 :: INFO :: Human in (6, 5)
2020-05-01 18:23:44,789 :: INFO :: Human in (7, 10)
2020-05-01 18:23:44,789 :: INFO :: Human in (4, 24)
2020-05-01 18:23:44,790 :: INFO :: Human in (30, 13)
2020-05-01 18:23:44,790 :: INFO :: Human in (4, 9)
2020-05-01 18:23:44,790 :: INFO :: Human in (29, 23)
2020-05-01 18:23:44,790 :: INFO :: Human in (11, 18)
2020-05-01 18:23:44,790 :: INFO :: Human in (11, 1)
2020-05-01 18:23:44,791 :: INFO :: Human in (27, 33)
2020-05-01 18:23:44,791 :: INFO :: Human in (20, 1)
2020-05-01 18:23:44,791 :: INFO :: Human in (9, 1)
2020-05-01 18:23:44,791 :: INFO :: Human in (2, 11)
2020-05-01 18:23:44,791 :: INFO :: Human in (32, 12)
2020-05-01 18:23:44,792 :: INFO :: Human in (32, 2)
2020-05-01 18:23:44,792 :: INFO :: Human in (21, 4)
2020-05-01 18:23:44,792 :: INFO :: Human in (29, 0)
2020-05-01 18:23:44,792 :: INFO :: Human in (4, 16)
2020-05-01 18:23:44,792 :: INFO :: Human in (10, 12)
2020-05-01 18:23:44,792 :: INFO :: Human in (31, 9)
2020-05-01 18:23:44,793 :: INFO :: Human in (28, 23)
2020-05-01 18:23:44,793 :: INFO :: Human in (27, 0)
2020-05-01 18:23:44,793 :: INFO :: Human in (17, 24)
2020-05-01 18:23:44,793 :: INFO :: Human in (18, 9)
2020-05-01 18:23:44,794 :: INFO :: Human in (17, 22)
2020-05-01 18:23:44,794 :: INFO :: Human in (24, 32)
2020-05-01 18:23:44,794 :: INFO :: Human in (27, 27)
2020-05-01 18:23:44,794 :: INFO :: Human in (0, 13)
2020-05-01 18:23:44,794 :: INFO :: Human in (13, 26)
2020-05-01 18:23:44,794 :: INFO :: Human in (27, 2)
2020-05-01 18:23:44,795 :: INFO :: Human in (8, 26)
2020-05-01 18:23:44,795 :: INFO :: Human in (4, 0)
2020-05-01 18:23:44,795 :: INFO :: Human in (23, 14)
2020-05-01 18:23:44,795 :: INFO :: Human in (19, 30)
2020-05-01 18:23:44,795 :: INFO :: Human in (10, 1)
2020-05-01 18:23:44,796 :: INFO :: Human in (2, 15)
2020-05-01 18:23:44,796 :: INFO :: Human in (15, 4)
2020-05-01 18:23:44,796 :: INFO :: Human in (7, 3)
2020-05-01 18:23:44,796 :: INFO :: Human in (26, 30)
2020-05-01 18:23:44,796 :: INFO :: Human in (14, 14)
2020-05-01 18:23:44,797 :: INFO :: Human in (13, 25)
2020-05-01 18:23:44,797 :: INFO :: Human in (0, 9)
2020-05-01 18:23:44,797 :: INFO :: Human in (18, 32)
2020-05-01 18:23:44,797 :: INFO :: Human in (29, 26)
